Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://littleherolabs.com/,Personalized Children&#39;s Books | Custom Kids Books | Little Hero Labs,50,0.10616787274678549,n/a,0,200,0.023,0,1,1,1,0,Canonical to other page,0,3,4,0,0,-,-,5,11,4,"create a personalized children&#39;s book where your child is the actual hero. customize their look, hometown, dedication, pronouns, and animal companion in a 16-page launch edition softcover.",Google-Extended
https://littleherolabs.com/create/character,Character — Create Your Book | Little Hero Labs,25,0.1023721694946289,n/a,1,200,0.125,0,0,1,1,0,Canonical to other page,0,3,3,0,0,-,-,4,10,1,create your personalized book — little hero labs,Google-Extended
https://littleherolabs.com/how-it-works,How to Create Your Personalized Children&#39;s Book | Little Hero Labs,50,0.10616787274678549,n/a,1,200,0.02,0,1,1,1,0,Canonical to other page,0,3,4,0,0,-,-,5,11,3,"learn how to create a personalized children&#39;s book in three simple steps. customize your child&#39;s actual look, hometown, dedication, pronouns, and animal companion.",Google-Extended
https://littleherolabs.com/llms.txt,,-,-,n/a,0,200,0.213,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,Google-Extended
https://littleherolabs.com/our-books,Personalized Children&#39;s Books Collection | Custom Kids Books | Little Hero Labs,50,0.10616787274678549,n/a,1,200,0.015,0,1,1,1,0,Canonical to other page,0,3,4,0,0,-,-,6,12,4,"explore personalized children&#39;s books where your child is the actual hero. customize their look, hometown, dedication, pronouns, and animal companion in a launch edition softcover.",Google-Extended
https://littleherolabs.com/robots.txt,,-,-,n/a,0,200,0.041,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,1,-,n/a
https://www.littleherolabs.com/,Personalized Children&#39;s Books | Custom Kids Books | Little Hero Labs,100,0.12994089391496447,n/a,0,200,0.029,0,1,1,1,0,Self-canonical,1,4,4,0,0,-,-,5,11,4,"create a personalized children&#39;s book where your child is the actual hero. customize their look, hometown, dedication, pronouns, and animal companion in a 16-page launch edition softcover.",Google-Extended
https://www.littleherolabs.com/create/character,Character — Create Your Book | Little Hero Labs,75,0.1285370190938314,n/a,1,200,0.037,0,0,1,1,0,Self-canonical,0,4,3,0,0,-,-,4,10,1,create your personalized book — little hero labs,Google-Extended
https://www.littleherolabs.com/how-it-works,How to Create Your Personalized Children&#39;s Book | Little Hero Labs,100,0.12994089391496447,n/a,1,200,0.163,0,1,1,1,0,Self-canonical,1,4,4,0,0,-,-,5,11,3,"learn how to create a personalized children&#39;s book in three simple steps. customize your child&#39;s actual look, hometown, dedication, pronouns, and animal companion.",Google-Extended
https://www.littleherolabs.com/our-books,Personalized Children&#39;s Books Collection | Custom Kids Books | Little Hero Labs,100,0.12994089391496447,n/a,1,200,0.024,0,1,1,1,0,Self-canonical,1,4,4,0,0,-,-,6,12,4,"explore personalized children&#39;s books where your child is the actual hero. customize their look, hometown, dedication, pronouns, and animal companion in a launch edition softcover.",Google-Extended
https://www.littleherolabs.com/sitemap.xml,,-,-,n/a,0,200,0.097,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,Google-Extended
